timestamp,api_type,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-16T13:14:59.112948,text_search,Clementi,Pandan,food,coffee shop,"coffee shop in Pandan, Clementi, Singapore",OK,,20,
2026-07-16T13:14:59.830003,text_search,Clementi,Pandan,food,restaurant,"restaurant in Pandan, Clementi, Singapore",OK,,20,
2026-07-16T13:15:00.913715,text_search,Clementi,Pandan,food,cafe,"cafe in Pandan, Clementi, Singapore",OK,,20,
2026-07-16T13:15:01.680859,text_search,Clementi,Pandan,shopping,shopping mall,"shopping mall in Pandan, Clementi, Singapore",OK,,10,
2026-07-16T13:15:02.471723,text_search,Clementi,Pandan,shopping,supermarket,"supermarket in Pandan, Clementi, Singapore",OK,,20,
2026-07-16T13:15:03.368254,text_search,Clementi,Pandan,shopping,grocery store,"grocery store in Pandan, Clementi, Singapore",OK,,20,
2026-07-16T13:15:04.188569,text_search,Clementi,Pandan,shopping,convenience store,"convenience store in Pandan, Clementi, Singapore",OK,,20,
2026-07-16T13:15:04.732544,text_search,Clementi,Pandan,shopping,wet market,"wet market in Pandan, Clementi, Singapore",OK,,4,
2026-07-16T13:15:06.071118,text_search,Clementi,Pandan,recreation,gym,"gym in Pandan, Clementi, Singapore",OK,,20,
2026-07-16T13:15:06.947650,text_search,Clementi,Pandan,recreation,sports centre,"sports centre in Pandan, Clementi, Singapore",OK,,16,
2026-07-16T13:15:08.061519,text_search,Clementi,Pandan,recreation,swimming complex,"swimming complex in Pandan, Clementi, Singapore",OK,,20,
2026-07-16T13:15:08.973325,text_search,Clementi,Pandan,recreation,cinema,"cinema in Pandan, Clementi, Singapore",OK,,20,
